position_id,job_code,job_title,job_family,job_level,factor_skills_score,factor_effort_score,factor_responsibility_score,factor_working_conditions_score,methodology_version_reference
POS-FIN-L3-0089,JOB-FIN-L3-05,Finance L3 Role 05,FIN,L3,3,1,3,2,methodology_v1@v1.0.0
POS-FIN-L3-0090,JOB-FIN-L3-06,Finance L3 Role 06,FIN,L3,3,2,3,0,methodology_v1@v1.0.0
POS-FIN-L4-0091,JOB-FIN-L4-01,Finance L4 Role 01,FIN,L4,3,3,3,1,methodology_v1@v1.0.0
POS-FIN-L4-0092,JOB-FIN-L4-02,Finance L4 Role 02,FIN,L4,3,3,3,3,methodology_v1@v1.0.0
POS-FIN-L4-0093,JOB-FIN-L4-03,Finance L4 Role 03,FIN,L4,1,3,3,1,methodology_v1@v1.0.0
POS-FIN-L4-0094,JOB-FIN-L4-04,Finance L4 Role 04,FIN,L4,4,3,3,1,methodology_v1@v1.0.0
POS-FIN-L4-0095,JOB-FIN-L4-05,Finance L4 Role 05,FIN,L4,3,3,4,1,methodology_v1@v1.0.0
POS-FIN-L4-0096,JOB-FIN-L4-06,Finance L4 Role 06,FIN,L4,4,4,3,1,methodology_v1@v1.0.0
POS-FIN-L5-0097,JOB-FIN-L5-01,Finance L5 Role 01,FIN,L5,3,4,4,3,methodology_v1@v1.0.0
POS-FIN-L5-0098,JOB-FIN-L5-02,Finance L5 Role 02,FIN,L5,3,4,4,0,methodology_v1@v1.0.0
POS-FIN-L5-0099,JOB-FIN-L5-03,Finance L5 Role 03,FIN,L5,3,3,4,2,methodology_v1@v1.0.0
POS-FIN-L5-0100,JOB-FIN-L5-04,Finance L5 Role 04,FIN,L5,4,3,4,2,methodology_v1@v1.0.0
POS-FIN-L5-0101,JOB-FIN-L5-05,Finance L5 Role 05,FIN,L5,3,3,4,1,methodology_v1@v1.0.0
POS-FIN-L5-0102,JOB-FIN-L5-06,Finance L5 Role 06,FIN,L5,4,4,4,2,methodology_v1@v1.0.0
POS-FIN-L6-0103,JOB-FIN-L6-01,Finance L6 Role 01,FIN,L6,4,3,4,3,methodology_v1@v1.0.0
POS-FIN-L6-0104,JOB-FIN-L6-02,Finance L6 Role 02,FIN,L6,4,4,4,3,methodology_v1@v1.0.0
POS-FIN-L6-0105,JOB-FIN-L6-03,Finance L6 Role 03,FIN,L6,3,4,4,2,methodology_v1@v1.0.0
POS-FIN-L6-0106,JOB-FIN-L6-04,Finance L6 Role 04,FIN,L6,4,3,4,2,methodology_v1@v1.0.0
POS-FIN-L6-0107,JOB-FIN-L6-05,Finance L6 Role 05,FIN,L6,4,2,4,2,methodology_v1@v1.0.0
POS-FIN-L6-0108,JOB-FIN-L6-06,Finance L6 Role 06,FIN,L6,3,4,4,1,methodology_v1@v1.0.0
POS-HR-L1-0109,JOB-HR-L1-01,People L1 Role 01,HR,L1,1,1,2,0,methodology_v1@v1.0.0
POS-HR-L1-0110,JOB-HR-L1-02,People L1 Role 02,HR,L1,1,0,1,1,methodology_v1@v1.0.0
POS-HR-L1-0111,JOB-HR-L1-03,People L1 Role 03,HR,L1,2,1,1,2,methodology_v1@v1.0.0
POS-HR-L1-0112,JOB-HR-L1-04,People L1 Role 04,HR,L1,0,1,2,2,methodology_v1@v1.0.0
POS-HR-L1-0113,JOB-HR-L1-05,People L1 Role 05,HR,L1,2,1,0,1,methodology_v1@v1.0.0
POS-HR-L1-0114,JOB-HR-L1-06,People L1 Role 06,HR,L1,0,1,3,1,methodology_v1@v1.0.0
POS-HR-L2-0115,JOB-HR-L2-01,People L2 Role 01,HR,L2,2,0,2,0,methodology_v1@v1.0.0
POS-HR-L2-0116,JOB-HR-L2-02,People L2 Role 02,HR,L2,3,2,1,3,methodology_v1@v1.0.0
POS-HR-L2-0117,JOB-HR-L2-03,People L2 Role 03,HR,L2,2,3,2,1,methodology_v1@v1.0.0
POS-HR-L2-0118,JOB-HR-L2-04,People L2 Role 04,HR,L2,1,3,0,1,methodology_v1@v1.0.0
POS-HR-L2-0119,JOB-HR-L2-05,People L2 Role 05,HR,L2,2,0,2,1,methodology_v1@v1.0.0
POS-HR-L2-0120,JOB-HR-L2-06,People L2 Role 06,HR,L2,1,0,1,0,methodology_v1@v1.0.0
POS-HR-L3-0121,JOB-HR-L3-01,People L3 Role 01,HR,L3,2,3,4,0,methodology_v1@v1.0.0
POS-HR-L3-0122,JOB-HR-L3-02,People L3 Role 02,HR,L3,3,2,2,1,methodology_v1@v1.0.0
POS-HR-L3-0123,JOB-HR-L3-03,People L3 Role 03,HR,L3,3,2,3,2,methodology_v1@v1.0.0
POS-HR-L3-0124,JOB-HR-L3-04,People L3 Role 04,HR,L3,2,0,3,2,methodology_v1@v1.0.0
POS-HR-L3-0125,JOB-HR-L3-05,People L3 Role 05,HR,L3,2,3,2,2,methodology_v1@v1.0.0
POS-HR-L3-0126,JOB-HR-L3-06,People L3 Role 06,HR,L3,2,2,3,1,methodology_v1@v1.0.0
POS-HR-L4-0127,JOB-HR-L4-01,People L4 Role 01,HR,L4,3,3,2,2,methodology_v1@v1.0.0
POS-HR-L4-0128,JOB-HR-L4-02,People L4 Role 02,HR,L4,3,1,3,1,methodology_v1@v1.0.0
POS-HR-L4-0129,JOB-HR-L4-03,People L4 Role 03,HR,L4,3,3,4,3,methodology_v1@v1.0.0
POS-HR-L4-0130,JOB-HR-L4-04,People L4 Role 04,HR,L4,4,3,4,2,methodology_v1@v1.0.0
POS-HR-L4-0131,JOB-HR-L4-05,People L4 Role 05,HR,L4,2,3,4,1,methodology_v1@v1.0.0
POS-HR-L4-0132,JOB-HR-L4-06,People L4 Role 06,HR,L4,2,2,3,0,methodology_v1@v1.0.0
POS-HR-L5-0133,JOB-HR-L5-01,People L5 Role 01,HR,L5,3,4,4,2,methodology_v1@v1.0.0
POS-HR-L5-0134,JOB-HR-L5-02,People L5 Role 02,HR,L5,3,3,4,1,methodology_v1@v1.0.0
POS-HR-L5-0135,JOB-HR-L5-03,People L5 Role 03,HR,L5,4,1,4,0,methodology_v1@v1.0.0
POS-HR-L5-0136,JOB-HR-L5-04,People L5 Role 04,HR,L5,3,3,4,1,methodology_v1@v1.0.0
POS-HR-L5-0137,JOB-HR-L5-05,People L5 Role 05,HR,L5,3,2,4,2,methodology_v1@v1.0.0
POS-HR-L5-0138,JOB-HR-L5-06,People L5 Role 06,HR,L5,4,3,3,1,methodology_v1@v1.0.0
POS-HR-L6-0139,JOB-HR-L6-01,People L6 Role 01,HR,L6,4,4,4,3,methodology_v1@v1.0.0
POS-HR-L6-0140,JOB-HR-L6-02,People L6 Role 02,HR,L6,3,4,4,4,methodology_v1@v1.0.0
POS-HR-L6-0141,JOB-HR-L6-03,People L6 Role 03,HR,L6,4,4,4,3,methodology_v1@v1.0.0
POS-HR-L6-0142,JOB-HR-L6-04,People L6 Role 04,HR,L6,4,2,4,1,methodology_v1@v1.0.0
POS-HR-L6-0143,JOB-HR-L6-05,People L6 Role 05,HR,L6,4,3,3,2,methodology_v1@v1.0.0
POS-HR-L6-0144,JOB-HR-L6-06,People L6 Role 06,HR,L6,4,3,4,1,methodology_v1@v1.0.0
POS-SAL-L1-0145,JOB-SAL-L1-01,Sales L1 Role 01,SAL,L1,2,1,1,0,methodology_v1@v1.0.0
POS-SAL-L1-0146,JOB-SAL-L1-02,Sales L1 Role 02,SAL,L1,1,1,2,0,methodology_v1@v1.0.0
POS-SAL-L1-0147,JOB-SAL-L1-03,Sales L1 Role 03,SAL,L1,3,0,2,0,methodology_v1@v1.0.0
POS-SAL-L1-0148,JOB-SAL-L1-04,Sales L1 Role 04,SAL,L1,1,0,2,1,methodology_v1@v1.0.0
POS-SAL-L1-0149,JOB-SAL-L1-05,Sales L1 Role 05,SAL,L1,2,2,1,0,methodology_v1@v1.0.0
POS-SAL-L1-0150,JOB-SAL-L1-06,Sales L1 Role 06,SAL,L1,1,1,1,2,methodology_v1@v1.0.0
POS-SAL-L2-0151,JOB-SAL-L2-01,Sales L2 Role 01,SAL,L2,0,2,2,0,methodology_v1@v1.0.0
POS-SAL-L2-0152,JOB-SAL-L2-02,Sales L2 Role 02,SAL,L2,3,1,2,1,methodology_v1@v1.0.0
POS-SAL-L2-0153,JOB-SAL-L2-03,Sales L2 Role 03,SAL,L2,2,2,2,3,methodology_v1@v1.0.0
POS-SAL-L2-0154,JOB-SAL-L2-04,Sales L2 Role 04,SAL,L2,2,3,2,0,methodology_v1@v1.0.0
POS-SAL-L2-0155,JOB-SAL-L2-05,Sales L2 Role 05,SAL,L2,2,0,1,1,methodology_v1@v1.0.0
POS-SAL-L2-0156,JOB-SAL-L2-06,Sales L2 Role 06,SAL,L2,2,1,4,1,methodology_v1@v1.0.0
POS-SAL-L3-0157,JOB-SAL-L3-01,Sales L3 Role 01,SAL,L3,2,2,2,2,methodology_v1@v1.0.0
POS-SAL-L3-0158,JOB-SAL-L3-02,Sales L3 Role 02,SAL,L3,4,1,3,0,methodology_v1@v1.0.0
POS-SAL-L3-0159,JOB-SAL-L3-03,Sales L3 Role 03,SAL,L3,3,2,4,1,methodology_v1@v1.0.0
POS-SAL-L3-0160,JOB-SAL-L3-04,Sales L3 Role 04,SAL,L3,2,1,3,0,methodology_v1@v1.0.0
POS-SAL-L3-0161,JOB-SAL-L3-05,Sales L3 Role 05,SAL,L3,3,2,2,1,methodology_v1@v1.0.0
POS-SAL-L3-0162,JOB-SAL-L3-06,Sales L3 Role 06,SAL,L3,3,1,3,1,methodology_v1@v1.0.0
POS-SAL-L4-0163,JOB-SAL-L4-01,Sales L4 Role 01,SAL,L4,3,3,2,2,methodology_v1@v1.0.0
POS-SAL-L4-0164,JOB-SAL-L4-02,Sales L4 Role 02,SAL,L4,2,2,4,2,methodology_v1@v1.0.0
POS-SAL-L4-0165,JOB-SAL-L4-03,Sales L4 Role 03,SAL,L4,3,2,2,1,methodology_v1@v1.0.0
POS-SAL-L4-0166,JOB-SAL-L4-04,Sales L4 Role 04,SAL,L4,4,2,3,1,methodology_v1@v1.0.0
POS-SAL-L4-0167,JOB-SAL-L4-05,Sales L4 Role 05,SAL,L4,3,2,4,1,methodology_v1@v1.0.0
POS-SAL-L4-0168,JOB-SAL-L4-06,Sales L4 Role 06,SAL,L4,2,4,4,2,methodology_v1@v1.0.0
POS-SAL-L5-0169,JOB-SAL-L5-01,Sales L5 Role 01,SAL,L5,3,4,3,2,methodology_v1@v1.0.0
POS-SAL-L5-0170,JOB-SAL-L5-02,Sales L5 Role 02,SAL,L5,3,3,4,2,methodology_v1@v1.0.0
POS-SAL-L5-0171,JOB-SAL-L5-03,Sales L5 Role 03,SAL,L5,3,2,4,1,methodology_v1@v1.0.0
POS-SAL-L5-0172,JOB-SAL-L5-04,Sales L5 Role 04,SAL,L5,4,3,3,2,methodology_v1@v1.0.0
POS-SAL-L5-0173,JOB-SAL-L5-05,Sales L5 Role 05,SAL,L5,4,4,3,2,methodology_v1@v1.0.0
POS-SAL-L5-0174,JOB-SAL-L5-06,Sales L5 Role 06,SAL,L5,2,3,4,2,methodology_v1@v1.0.0
POS-SAL-L6-0175,JOB-SAL-L6-01,Sales L6 Role 01,SAL,L6,4,3,3,2,methodology_v1@v1.0.0
POS-SAL-L6-0176,JOB-SAL-L6-02,Sales L6 Role 02,SAL,L6,3,3,4,1,methodology_v1@v1.0.0
POS-SAL-L6-0177,JOB-SAL-L6-03,Sales L6 Role 03,SAL,L6,3,2,4,1,methodology_v1@v1.0.0
POS-SAL-L6-0178,JOB-SAL-L6-04,Sales L6 Role 04,SAL,L6,3,4,4,1,methodology_v1@v1.0.0
POS-SAL-L6-0179,JOB-SAL-L6-05,Sales L6 Role 05,SAL,L6,4,3,4,2,methodology_v1@v1.0.0
POS-SAL-L6-0180,JOB-SAL-L6-06,Sales L6 Role 06,SAL,L6,4,3,4,2,methodology_v1@v1.0.0
POS-TEC-L1-0181,JOB-TEC-L1-01,Technology L1 Role 01,TEC,L1,1,1,2,0,methodology_v1@v1.0.0
POS-TEC-L1-0182,JOB-TEC-L1-02,Technology L1 Role 02,TEC,L1,1,1,1,0,methodology_v1@v1.0.0
POS-TEC-L1-0183,JOB-TEC-L1-03,Technology L1 Role 03,TEC,L1,2,2,1,0,methodology_v1@v1.0.0
POS-TEC-L1-0184,JOB-TEC-L1-04,Technology L1 Role 04,TEC,L1,2,2,3,0,methodology_v1@v1.0.0
POS-TEC-L1-0185,JOB-TEC-L1-05,Technology L1 Role 05,TEC,L1,1,0,2,0,methodology_v1@v1.0.0
POS-TEC-L1-0186,JOB-TEC-L1-06,Technology L1 Role 06,TEC,L1,1,1,2,0,methodology_v1@v1.0.0
POS-TEC-L2-0187,JOB-TEC-L2-01,Technology L2 Role 01,TEC,L2,2,1,1,1,methodology_v1@v1.0.0
POS-TEC-L2-0188,JOB-TEC-L2-02,Technology L2 Role 02,TEC,L2,2,1,3,0,methodology_v1@v1.0.0
POS-TEC-L2-0189,JOB-TEC-L2-03,Technology L2 Role 03,TEC,L2,2,2,2,1,methodology_v1@v1.0.0
POS-TEC-L2-0190,JOB-TEC-L2-04,Technology L2 Role 04,TEC,L2,2,2,2,1,methodology_v1@v1.0.0
POS-TEC-L2-0191,JOB-TEC-L2-05,Technology L2 Role 05,TEC,L2,2,2,1,2,methodology_v1@v1.0.0
POS-TEC-L2-0192,JOB-TEC-L2-06,Technology L2 Role 06,TEC,L2,2,3,1,2,methodology_v1@v1.0.0
POS-TEC-L3-0193,JOB-TEC-L3-01,Technology L3 Role 01,TEC,L3,2,3,4,2,methodology_v1@v1.0.0
POS-TEC-L3-0194,JOB-TEC-L3-02,Technology L3 Role 02,TEC,L3,2,1,2,0,methodology_v1@v1.0.0
POS-TEC-L3-0195,JOB-TEC-L3-03,Technology L3 Role 03,TEC,L3,3,3,4,0,methodology_v1@v1.0.0
POS-TEC-L3-0196,JOB-TEC-L3-04,Technology L3 Role 04,TEC,L3,2,0,2,2,methodology_v1@v1.0.0
POS-TEC-L3-0197,JOB-TEC-L3-05,Technology L3 Role 05,TEC,L3,2,2,3,1,methodology_v1@v1.0.0
POS-TEC-L3-0198,JOB-TEC-L3-06,Technology L3 Role 06,TEC,L3,1,2,2,2,methodology_v1@v1.0.0
POS-TEC-L4-0199,JOB-TEC-L4-01,Technology L4 Role 01,TEC,L4,2,3,3,1,methodology_v1@v1.0.0
POS-TEC-L4-0200,JOB-TEC-L4-02,Technology L4 Role 02,TEC,L4,3,2,3,0,methodology_v1@v1.0.0
POS-TEC-L4-0201,JOB-TEC-L4-03,Technology L4 Role 03,TEC,L4,3,3,2,1,methodology_v1@v1.0.0
POS-TEC-L4-0202,JOB-TEC-L4-04,Technology L4 Role 04,TEC,L4,2,2,3,2,methodology_v1@v1.0.0
POS-TEC-L4-0203,JOB-TEC-L4-05,Technology L4 Role 05,TEC,L4,2,3,4,2,methodology_v1@v1.0.0
POS-TEC-L4-0204,JOB-TEC-L4-06,Technology L4 Role 06,TEC,L4,2,2,2,2,methodology_v1@v1.0.0
POS-TEC-L5-0205,JOB-TEC-L5-01,Technology L5 Role 01,TEC,L5,3,2,4,1,methodology_v1@v1.0.0
POS-TEC-L5-0206,JOB-TEC-L5-02,Technology L5 Role 02,TEC,L5,2,3,3,0,methodology_v1@v1.0.0
POS-TEC-L5-0207,JOB-TEC-L5-03,Technology L5 Role 03,TEC,L5,4,4,2,1,methodology_v1@v1.0.0
POS-TEC-L5-0208,JOB-TEC-L5-04,Technology L5 Role 04,TEC,L5,4,2,4,0,methodology_v1@v1.0.0
POS-TEC-L5-0209,JOB-TEC-L5-05,Technology L5 Role 05,TEC,L5,4,3,4,2,methodology_v1@v1.0.0
POS-TEC-L5-0210,JOB-TEC-L5-06,Technology L5 Role 06,TEC,L5,4,1,4,0,methodology_v1@v1.0.0
POS-TEC-L6-0211,JOB-TEC-L6-01,Technology L6 Role 01,TEC,L6,4,4,4,3,methodology_v1@v1.0.0
POS-TEC-L6-0212,JOB-TEC-L6-02,Technology L6 Role 02,TEC,L6,4,3,4,3,methodology_v1@v1.0.0
