assignment_id,hris_worker_id,position_id,job_code,job_title,job_family,job_level,primary_assignment_flag,fte_fraction,standard_hours_per_week,effective_start_date,effective_end_date
ASN-000078-02,HRIS-WKR-000078,POS-SAL-L5-0170,JOB-SAL-L5-02,Sales L5 Role 02,SAL,L5,N,0.3,11.7,2019-03-07,
ASN-000079-01,HRIS-WKR-000079,POS-HR-L1-0112,JOB-HR-L1-04,People L1 Role 04,HR,L1,Y,1.0,39.0,2024-08-19,
ASN-000080-01,HRIS-WKR-000080,POS-FIN-L4-0092,JOB-FIN-L4-02,Finance L4 Role 02,FIN,L4,Y,,,2018-04-15,
ASN-000081-01,HRIS-WKR-000081,POS-HR-L4-0130,JOB-HR-L4-04,People L4 Role 04,HR,L4,Y,1.0,39.0,2022-01-31,
ASN-000082-01,HRIS-WKR-000082,POS-FIN-L1-0077,JOB-FIN-L1-05,Finance L1 Role 05,FIN,L1,Y,0.6,23.4,2019-10-14,
ASN-000083-01,HRIS-WKR-000083,POS-OPS-L4-0055,JOB-OPS-L4-01,Operations L4 Role 01,OPS,L4,Y,0.6,23.4,2025-02-22,
ASN-000084-01,HRIS-WKR-000084,POS-FIN-L4-0096,JOB-FIN-L4-06,Finance L4 Role 06,FIN,L4,Y,1.0,39.0,2020-04-09,
ASN-000085-01,HRIS-WKR-000085,POS-HR-L4-0128,JOB-HR-L4-02,People L4 Role 02,HR,L4,Y,0.8,31.2,2019-03-18,
ASN-000086-01,HRIS-WKR-000086,POS-FIN-L6-0108,JOB-FIN-L6-06,Finance L6 Role 06,FIN,L6,Y,0.6,23.4,2024-11-23,
ASN-000087-01,HRIS-WKR-000087,POS-ENG-L5-0025,JOB-ENG-L5-01,Engineering L5 Role 01,ENG,L5,Y,0.5,19.5,2024-12-27,
ASN-000088-01,HRIS-WKR-000088,POS-OPS-L4-0060,JOB-OPS-L4-06,Operations L4 Role 06,OPS,L4,Y,1.0,39.0,2024-07-04,
ASN-000089-01,HRIS-WKR-000089,POS-OPS-L1-0037,JOB-OPS-L1-01,Operations L1 Role 01,OPS,L1,Y,1.0,39.0,2018-05-02,
ASN-000089-02,HRIS-WKR-000089,POS-ENG-L6-0035,JOB-ENG-L6-05,Engineering L6 Role 05,ENG,L6,N,0.4,15.6,2021-02-12,
ASN-000090-01,HRIS-WKR-000090,POS-FIN-L2-0082,JOB-FIN-L2-04,Finance L2 Role 04,FIN,L2,Y,1.0,39.0,2022-04-29,
ASN-000091-01,HRIS-WKR-000091,POS-HR-L6-0139,JOB-HR-L6-01,People L6 Role 01,HR,L6,Y,1.0,39.0,2023-03-22,
ASN-000092-01,HRIS-WKR-000092,POS-ENG-L1-0005,JOB-ENG-L1-05,Engineering L1 Role 05,ENG,L1,Y,1.0,39.0,2023-12-25,
ASN-000093-01,HRIS-WKR-000093,POS-ENG-L1-0002,JOB-ENG-L1-02,Engineering L1 Role 02,ENG,L1,Y,1.0,39.0,2022-03-04,
ASN-000094-01,HRIS-WKR-000094,POS-OPS-L4-0060,JOB-OPS-L4-06,Operations L4 Role 06,OPS,L4,Y,1.0,39.0,2018-07-08,
ASN-000095-01,HRIS-WKR-000095,POS-OPS-L6-0072,JOB-OPS-L6-06,Operations L6 Role 06,OPS,L6,Y,1.0,39.0,2020-03-07,
ASN-000095-02,HRIS-WKR-000095,POS-TEC-L6-0213,JOB-TEC-L6-03,Technology L6 Role 03,TEC,L6,N,0.3,11.7,2019-07-07,
ASN-000096-01,HRIS-WKR-000096,POS-TEC-L2-0190,JOB-TEC-L2-04,Technology L2 Role 04,TEC,L2,Y,1.0,39.0,2018-08-04,
ASN-000097-01,HRIS-WKR-000097,POS-FIN-L6-0103,JOB-FIN-L6-01,Finance L6 Role 01,FIN,L4,Y,0.8,31.2,2023-04-27,
ASN-000098-01,HRIS-WKR-000098,POS-OPS-L5-0066,JOB-OPS-L5-06,Operations L5 Role 06,OPS,L5,Y,1.0,39.0,2023-06-24,
ASN-000099-01,HRIS-WKR-000099,POS-OPS-L1-0039,JOB-OPS-L1-03,Operations L1 Role 03,OPS,L1,Y,1.0,39.0,2021-01-29,
ASN-000100-01,HRIS-WKR-000100,POS-OPS-L6-0071,JOB-OPS-L6-05,Operations L6 Role 05,OPS,L6,Y,0.6,23.4,2025-04-07,
ASN-000101-01,HRIS-WKR-000101,POS-SAL-L2-0152,JOB-SAL-L2-02,Sales L2 Role 02,SAL,L2,Y,1.0,39.0,2018-02-15,
ASN-000102-01,HRIS-WKR-000102,POS-ENG-L5-0028,JOB-ENG-L5-04,Engineering L5 Role 04,ENG,L5,Y,1.0,39.0,2021-02-09,
ASN-000103-01,HRIS-WKR-000103,POS-ENG-L4-0022,JOB-ENG-L4-04,Engineering L4 Role 04,ENG,L4,Y,1.0,39.0,2023-07-19,
ASN-000104-01,HRIS-WKR-000104,POS-FIN-L3-0088,JOB-FIN-L3-04,Finance L3 Role 04,FIN,L3,Y,1.0,39.0,2022-12-02,
ASN-000105-01,HRIS-WKR-000105,POS-SAL-L3-0159,JOB-SAL-L3-03,Sales L3 Role 03,SAL,L3,Y,1.0,39.0,2019-10-25,
ASN-000106-01,HRIS-WKR-000106,POS-FIN-L2-0079,JOB-FIN-L2-01,Finance L2 Role 01,FIN,L2,Y,0.4,15.6,2023-11-02,
ASN-000107-01,HRIS-WKR-000107,POS-SAL-L2-0156,JOB-SAL-L2-06,Sales L2 Role 06,SAL,L2,Y,0.5,19.5,2018-03-16,
ASN-000108-01,HRIS-WKR-000108,POS-ENG-L4-0024,JOB-ENG-L4-06,Engineering L4 Role 06,ENG,L4,Y,,,2024-11-14,
ASN-000109-01,HRIS-WKR-000109,POS-SAL-L3-0160,JOB-SAL-L3-04,Sales L3 Role 04,SAL,L3,Y,1.0,39.0,2024-10-31,
ASN-000110-01,HRIS-WKR-000110,POS-FIN-L2-0081,JOB-FIN-L2-03,Finance L2 Role 03,FIN,L2,Y,0.8,31.2,2021-02-22,
ASN-000111-01,HRIS-WKR-000111,POS-HR-L5-0134,JOB-HR-L5-02,People L5 Role 02,HR,L5,Y,1.0,39.0,2019-10-26,
ASN-000112-01,HRIS-WKR-000112,POS-HR-L4-0127,JOB-HR-L4-01,People L4 Role 01,HR,L4,Y,1.0,39.0,2024-08-05,
ASN-000113-01,HRIS-WKR-000113,POS-HR-L3-0122,JOB-HR-L3-02,People L3 Role 02,HR,L3,Y,,,2024-04-19,
ASN-000114-01,HRIS-WKR-000114,POS-HR-L6-0143,JOB-HR-L6-05,People L6 Role 05,HR,L6,Y,1.0,39.0,2024-03-24,
ASN-000115-01,HRIS-WKR-000115,POS-OPS-L4-0060,JOB-OPS-L4-06,Operations L4 Role 06,OPS,L4,Y,0.8,31.2,2020-06-05,
ASN-000116-01,HRIS-WKR-000116,POS-OPS-L4-0059,JOB-OPS-L4-05,Operations L4 Role 05,OPS,L4,Y,1.0,39.0,2022-06-17,
ASN-000117-01,HRIS-WKR-000117,POS-ENG-L1-0006,JOB-ENG-L1-06,Engineering L1 Role 06,ENG,L1,Y,0.6,23.4,2022-03-24,
ASN-000118-01,HRIS-WKR-000118,POS-OPS-L3-0052,JOB-OPS-L3-04,Operations L3 Role 04,OPS,L3,Y,1.0,39.0,2022-02-19,
ASN-000119-01,HRIS-WKR-000119,POS-HR-L6-0140,JOB-HR-L6-02,People L6 Role 02,HR,L6,Y,0.8,31.2,2021-12-22,
ASN-000120-01,HRIS-WKR-000120,POS-OPS-L3-0049,JOB-OPS-L3-01,Operations L3 Role 01,OPS,L3,Y,1.0,39.0,2025-02-13,
ASN-000121-01,HRIS-WKR-000121,POS-TEC-L2-0189,JOB-TEC-L2-03,Technology L2 Role 03,TEC,L2,Y,1.0,39.0,2022-12-06,
ASN-000122-01,HRIS-WKR-000122,POS-FIN-L1-0077,JOB-FIN-L1-05,Finance L1 Role 05,FIN,L1,Y,1.0,39.0,2025-02-03,
ASN-000123-01,HRIS-WKR-000123,POS-SAL-L4-0163,JOB-SAL-L4-01,Sales L4 Role 01,SAL,L4,Y,1.0,39.0,2022-01-11,
ASN-000124-01,HRIS-WKR-000124,POS-ENG-L6-0036,JOB-ENG-L6-06,Engineering L6 Role 06,ENG,L6,Y,1.0,39.0,2020-08-31,
ASN-000125-01,HRIS-WKR-000125,POS-OPS-L5-0061,JOB-OPS-L5-01,Operations L5 Role 01,OPS,L5,Y,1.0,39.0,2018-12-24,
ASN-000126-01,HRIS-WKR-000126,POS-OPS-L5-0063,JOB-OPS-L5-03,Operations L5 Role 03,OPS,L5,Y,0.8,31.2,2019-11-06,
ASN-000127-01,HRIS-WKR-000127,POS-OPS-L1-0039,JOB-OPS-L1-03,Operations L1 Role 03,OPS,L1,Y,0.4,15.6,2019-10-31,
ASN-000127-02,HRIS-WKR-000127,POS-FIN-L4-0093,JOB-FIN-L4-03,Finance L4 Role 03,FIN,L4,N,0.2,7.8,2018-08-29,
ASN-000128-01,HRIS-WKR-000128,POS-FIN-L5-0098,JOB-FIN-L5-02,Finance L5 Role 02,FIN,L5,Y,1.0,39.0,2024-12-29,
ASN-000129-01,HRIS-WKR-000129,POS-ENG-L1-0001,JOB-ENG-L1-01,Engineering L1 Role 01,ENG,L1,Y,1.0,39.0,2020-07-11,
ASN-000130-01,HRIS-WKR-000130,POS-OPS-L1-0040,JOB-OPS-L1-04,Operations L1 Role 04,OPS,L1,Y,1.0,39.0,2020-09-16,
ASN-000131-01,HRIS-WKR-000131,POS-ENG-L4-0020,JOB-ENG-L4-02,Engineering L4 Role 02,ENG,L4,Y,1.0,39.0,2019-10-14,
ASN-000131-02,HRIS-WKR-000131,POS-FIN-L6-0108,JOB-FIN-L6-06,Finance L6 Role 06,FIN,L6,N,0.2,7.8,2024-03-03,
ASN-000132-01,HRIS-WKR-000132,POS-HR-L3-0123,JOB-HR-L3-03,People L3 Role 03,HR,L3,Y,0.6,23.4,2021-04-06,
ASN-000133-01,HRIS-WKR-000133,POS-FIN-L3-0090,JOB-FIN-L3-06,Finance L3 Role 06,FIN,L3,Y,1.0,39.0,2019-06-03,
ASN-000134-01,HRIS-WKR-000134,POS-SAL-L2-0156,JOB-SAL-L2-06,Sales L2 Role 06,SAL,L2,Y,0.8,31.2,2025-03-31,
ASN-000135-01,HRIS-WKR-000135,POS-ENG-L5-0027,JOB-ENG-L5-03,Engineering L5 Role 03,ENG,L5,Y,1.0,39.0,2020-11-24,
ASN-000136-01,HRIS-WKR-000136,POS-FIN-L2-0083,JOB-FIN-L2-05,Finance L2 Role 05,FIN,L2,Y,0.6,23.4,2020-01-21,
ASN-000137-01,HRIS-WKR-000137,POS-FIN-L6-0106,JOB-FIN-L6-04,Finance L6 Role 04,FIN,L6,Y,0.4,15.6,2022-07-02,
ASN-000138-01,HRIS-WKR-000138,POS-FIN-L3-0090,JOB-FIN-L3-06,Finance L3 Role 06,FIN,L3,Y,1.0,39.0,2019-11-13,
ASN-000139-01,HRIS-WKR-000139,POS-OPS-L4-0057,JOB-OPS-L4-03,Operations L4 Role 03,OPS,L4,Y,0.4,15.6,2021-05-13,
ASN-000140-01,HRIS-WKR-000140,POS-TEC-L4-0204,JOB-TEC-L4-06,Technology L4 Role 06,TEC,L4,Y,0.8,31.2,2025-04-02,
ASN-000141-01,HRIS-WKR-000141,POS-TEC-L6-0215,JOB-TEC-L6-05,Technology L6 Role 05,TEC,L6,Y,1.0,39.0,2025-07-07,
ASN-000142-01,HRIS-WKR-000142,POS-OPS-L2-0047,JOB-OPS-L2-05,Operations L2 Role 05,OPS,L2,Y,1.0,39.0,2024-12-01,
ASN-000143-01,HRIS-WKR-000143,POS-HR-L6-0140,JOB-HR-L6-02,People L6 Role 02,HR,L6,Y,0.5,19.5,2020-07-23,
ASN-000144-01,HRIS-WKR-000144,POS-FIN-L1-0073,JOB-FIN-L1-01,Finance L1 Role 01,FIN,L1,Y,1.0,39.0,2025-07-30,
ASN-000145-01,HRIS-WKR-000145,POS-TEC-L4-0202,JOB-TEC-L4-04,Technology L4 Role 04,TEC,L4,Y,0.4,15.6,2023-06-09,
ASN-000145-02,HRIS-WKR-000145,POS-OPS-L3-0051,JOB-OPS-L3-03,Operations L3 Role 03,OPS,L3,N,0.2,7.8,2022-11-10,
ASN-000146-01,HRIS-WKR-000146,POS-OPS-L4-0058,JOB-OPS-L4-04,Operations L4 Role 04,OPS,L4,Y,1.0,39.0,2020-04-18,
ASN-000147-01,HRIS-WKR-000147,POS-SAL-L2-0154,JOB-SAL-L2-04,Sales L2 Role 04,SAL,L2,Y,1.0,39.0,2024-06-30,
ASN-000148-01,HRIS-WKR-000148,POS-FIN-L2-0081,JOB-FIN-L2-03,Finance L2 Role 03,FIN,L1,Y,1.0,39.0,2022-09-14,
ASN-000149-01,HRIS-WKR-000149,POS-OPS-L1-0038,JOB-OPS-L1-02,Operations L1 Role 02,OPS,L1,Y,1.0,39.0,2022-02-11,
ASN-000150-01,HRIS-WKR-000150,POS-SAL-L2-0156,JOB-SAL-L2-06,Sales L2 Role 06,SAL,L2,Y,1.0,39.0,2021-11-09,
ASN-000151-01,HRIS-WKR-000151,POS-SAL-L6-0177,JOB-SAL-L6-03,Sales L6 Role 03,SAL,L6,Y,1.0,39.0,2021-12-22,
ASN-000152-01,HRIS-WKR-000152,POS-SAL-L4-0168,JOB-SAL-L4-06,Sales L4 Role 06,SAL,L4,Y,0.6,23.4,2025-08-19,
ASN-000152-02,HRIS-WKR-000152,POS-OPS-L3-0051,JOB-OPS-L3-03,Operations L3 Role 03,OPS,L3,N,0.2,7.8,2019-11-24,
ASN-000153-01,HRIS-WKR-000153,POS-SAL-L4-0166,JOB-SAL-L4-04,Sales L4 Role 04,SAL,L4,Y,1.0,39.0,2022-02-25,
ASN-000154-01,HRIS-WKR-000154,POS-ENG-L6-0036,JOB-ENG-L6-06,Engineering L6 Role 06,ENG,L6,Y,1.0,39.0,2020-11-05,
ASN-000155-01,HRIS-WKR-000155,POS-FIN-L1-0078,JOB-FIN-L1-06,Finance L1 Role 06,FIN,L1,Y,0.4,15.6,2025-06-21,
ASN-000156-01,HRIS-WKR-000156,POS-HR-L6-0140,JOB-HR-L6-02,People L6 Role 02,HR,L6,Y,1.0,39.0,2023-10-21,
