hris_worker_id,worker_public_id,country_code,legal_entity_id,employment_status,employment_type,contract_type,hire_date,termination_date,gender,department,location,cost_center
HRIS-WKR-000034,WKR-PUB-000034,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2022-08-18,,F,Sales,Dublin,CC-IE-030
HRIS-WKR-000035,WKR-PUB-000035,IE,LE-IE-SYNTH-001,ACTIVE,CONTRACTOR,PERMANENT,2024-02-23,,M,People,Cork,CC-IE-012
HRIS-WKR-000036,WKR-PUB-000036,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2015-09-07,,F,Finance,Galway,CC-IE-029
HRIS-WKR-000037,WKR-PUB-000037,IE,LE-IE-SYNTH-001,ACTIVE,CONTRACTOR,PERMANENT,2023-11-09,,M,Finance,Galway,CC-IE-014
HRIS-WKR-000038,WKR-PUB-000038,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2021-12-23,,M,People,Dublin,CC-IE-027
HRIS-WKR-000039,WKR-PUB-000039,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2024-04-23,,F,Engineering,Dublin,CC-IE-038
HRIS-WKR-000040,WKR-PUB-000040,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2020-12-13,,M,People,Dublin,CC-IE-040
HRIS-WKR-000041,WKR-PUB-000041,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2017-08-10,,M,Operations,Remote-IE,CC-IE-009
HRIS-WKR-000042,WKR-PUB-000042,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2025-11-08,,F,Operations,Cork,CC-IE-033
HRIS-WKR-000043,WKR-PUB-000043,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2018-12-11,,M,Sales,Dublin,CC-IE-008
HRIS-WKR-000044,WKR-PUB-000044,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2016-04-11,,M,Engineering,Cork,CC-IE-006
HRIS-WKR-000045,WKR-PUB-000045,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2018-07-27,,F,Technology,Limerick,CC-IE-021
HRIS-WKR-000046,WKR-PUB-000046,IE,LE-IE-SYNTH-001,ACTIVE,CONTRACTOR,PERMANENT,2017-07-02,,F,Engineering,Dublin,CC-IE-025
HRIS-WKR-000047,WKR-PUB-000047,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2023-01-02,,M,Finance,Dublin,CC-IE-011
HRIS-WKR-000048,WKR-PUB-000048,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2019-11-19,,M,Engineering,Cork,CC-IE-031
HRIS-WKR-000049,WKR-PUB-000049,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2014-09-03,,F,Sales,Remote-IE,CC-IE-038
HRIS-WKR-000050,WKR-PUB-000050,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2021-11-30,,M,Sales,Dublin,CC-IE-037
HRIS-WKR-000051,WKR-PUB-000051,IE,LE-IE-SYNTH-001,ACTIVE,CONTRACTOR,FIXED_TERM,2021-07-21,,M,Engineering,Dublin,CC-IE-036
HRIS-WKR-000052,WKR-PUB-000052,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2017-08-18,,M,Operations,Galway,CC-IE-036
HRIS-WKR-000053,WKR-PUB-000053,IE,LE-IE-SYNTH-001,ACTIVE,CONTRACTOR,PERMANENT,2019-06-02,,M,People,Dublin,CC-IE-010
HRIS-WKR-000054,WKR-PUB-000054,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2023-09-05,,M,Operations,Cork,CC-IE-009
HRIS-WKR-000055,WKR-PUB-000055,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2015-01-17,,M,Sales,Limerick,CC-IE-013
HRIS-WKR-000056,WKR-PUB-000056,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2021-11-21,,F,Operations,Cork,CC-IE-035
HRIS-WKR-000057,WKR-PUB-000057,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2021-07-31,,M,Sales,Remote-IE,CC-IE-014
HRIS-WKR-000058,WKR-PUB-000058,IE,LE-IE-SYNTH-001,TERMINATED,EMPLOYEE,PERMANENT,2019-10-09,2026-08-05,F,Sales,Dublin,CC-IE-022
HRIS-WKR-000059,WKR-PUB-000059,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2025-12-01,,M,Sales,Dublin,CC-IE-003
HRIS-WKR-000060,WKR-PUB-000060,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2024-10-10,,F,Operations,Remote-IE,CC-IE-040
HRIS-WKR-000061,WKR-PUB-000061,IE,LE-IE-SYNTH-001,TERMINATED,EMPLOYEE,PERMANENT,2016-08-24,2026-03-22,M,Engineering,Limerick,CC-IE-010
HRIS-WKR-000062,WKR-PUB-000062,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2024-10-02,,M,Engineering,Cork,CC-IE-025
HRIS-WKR-000063,WKR-PUB-000063,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2019-09-03,,M,Sales,Dublin,CC-IE-030
HRIS-WKR-000064,WKR-PUB-000064,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2018-07-11,,F,Sales,Dublin,CC-IE-012
HRIS-WKR-000065,WKR-PUB-000065,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2015-07-15,,F,Engineering,Dublin,CC-IE-006
HRIS-WKR-000066,WKR-PUB-000066,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2022-12-25,,M,Sales,Dublin,CC-IE-029
HRIS-WKR-000067,WKR-PUB-000067,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2018-10-18,,F,Sales,Dublin,CC-IE-034
HRIS-WKR-000068,WKR-PUB-000068,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2022-05-25,,F,Sales,Galway,CC-IE-034
HRIS-WKR-000069,WKR-PUB-000069,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2018-06-20,,M,Engineering,Dublin,CC-IE-022
HRIS-WKR-000070,WKR-PUB-000070,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2021-01-26,,M,Finance,Limerick,CC-IE-019
HRIS-WKR-000071,WKR-PUB-000071,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2014-01-04,,F,Technology,Dublin,CC-IE-009
HRIS-WKR-000072,WKR-PUB-000072,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2020-11-28,,F,People,Dublin,CC-IE-002
HRIS-WKR-000073,WKR-PUB-000073,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2016-02-29,,F,Engineering,Limerick,CC-IE-024
HRIS-WKR-000074,WKR-PUB-000074,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2025-01-20,,M,Sales,Galway,CC-IE-033
HRIS-WKR-000075,WKR-PUB-000075,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2021-07-06,,M,Sales,Galway,CC-IE-021
HRIS-WKR-000076,WKR-PUB-000076,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2018-01-10,,M,Sales,Dublin,CC-IE-005
HRIS-WKR-000077,WKR-PUB-000077,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2020-08-05,,F,Engineering,Dublin,CC-IE-036
HRIS-WKR-000078,WKR-PUB-000078,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2024-06-29,,F,Technology,Dublin,CC-IE-026
HRIS-WKR-000079,WKR-PUB-000079,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2017-06-11,,M,Sales,Cork,CC-IE-022
HRIS-WKR-000080,WKR-PUB-000080,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2015-12-30,,M,Sales,Dublin,CC-IE-024
HRIS-WKR-000081,WKR-PUB-000081,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2024-03-27,,M,Operations,Dublin,CC-IE-034
HRIS-WKR-000082,WKR-PUB-000082,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,APPRENTICE,2026-01-16,,M,Operations,Dublin,CC-IE-002
HRIS-WKR-000083,WKR-PUB-000083,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2017-06-22,,F,Operations,Dublin,CC-IE-016
HRIS-WKR-000084,WKR-PUB-000084,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2022-06-11,,M,Finance,Dublin,CC-IE-003
HRIS-WKR-000085,WKR-PUB-000085,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2020-06-02,,M,Operations,Dublin,CC-IE-003
HRIS-WKR-000086,WKR-PUB-000086,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2025-08-21,,F,Engineering,Remote-IE,CC-IE-010
HRIS-WKR-000087,WKR-PUB-000087,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2022-06-10,,M,Finance,Dublin,CC-IE-003
HRIS-WKR-000088,WKR-PUB-000088,IE,LE-IE-SYNTH-001,ACTIVE,CONTRACTOR,PERMANENT,2016-05-25,,F,Engineering,Dublin,CC-IE-005
HRIS-WKR-000089,WKR-PUB-000089,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2017-12-16,,M,Operations,Dublin,CC-IE-017
HRIS-WKR-000090,WKR-PUB-000090,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,APPRENTICE,2015-09-16,,M,Sales,Cork,CC-IE-031
HRIS-WKR-000091,WKR-PUB-000091,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2016-09-18,,F,Operations,Cork,CC-IE-025
HRIS-WKR-000092,WKR-PUB-000092,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,APPRENTICE,2023-09-11,,M,Engineering,Dublin,CC-IE-016
HRIS-WKR-000093,WKR-PUB-000093,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2024-08-01,,M,Finance,Dublin,CC-IE-013
HRIS-WKR-000094,WKR-PUB-000094,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2016-08-01,,F,Sales,Dublin,CC-IE-033
HRIS-WKR-000095,WKR-PUB-000095,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2022-12-23,,M,Operations,Remote-IE,CC-IE-002
HRIS-WKR-000096,WKR-PUB-000096,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2021-05-31,,M,Sales,Dublin,CC-IE-038
HRIS-WKR-000097,WKR-PUB-000097,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2020-10-25,,F,Technology,Dublin,CC-IE-018
HRIS-WKR-000098,WKR-PUB-000098,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2022-11-11,,M,Operations,Limerick,CC-IE-038
HRIS-WKR-000099,WKR-PUB-000099,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2014-12-25,,F,Operations,Cork,CC-IE-006
HRIS-WKR-000100,WKR-PUB-000100,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2024-06-07,,F,People,Dublin,CC-IE-003
HRIS-WKR-000101,WKR-PUB-000101,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2014-01-10,,M,Engineering,Galway,CC-IE-019
HRIS-WKR-000102,WKR-PUB-000102,IE,LE-IE-SYNTH-001,ACTIVE,CONTRACTOR,PERMANENT,2024-08-28,,F,Technology,Cork,CC-IE-030
HRIS-WKR-000103,WKR-PUB-000103,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2015-10-26,,F,Sales,Dublin,CC-IE-016
HRIS-WKR-000104,WKR-PUB-000104,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2023-11-16,,M,Engineering,Dublin,CC-IE-001
HRIS-WKR-000105,WKR-PUB-000105,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2016-12-21,,M,Engineering,Dublin,CC-IE-003
HRIS-WKR-000106,WKR-PUB-000106,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2020-04-29,,NB,Operations,Remote-IE,CC-IE-008
HRIS-WKR-000107,WKR-PUB-000107,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2020-02-09,,M,People,Cork,CC-IE-038
HRIS-WKR-000108,WKR-PUB-000108,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2021-11-19,,F,Sales,Galway,CC-IE-034
HRIS-WKR-000109,WKR-PUB-000109,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2022-08-15,,F,Finance,Dublin,CC-IE-015
HRIS-WKR-000110,WKR-PUB-000110,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2022-09-01,,M,Engineering,Cork,CC-IE-025
HRIS-WKR-000111,WKR-PUB-000111,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2022-12-19,,M,Technology,Galway,CC-IE-016
HRIS-WKR-000112,WKR-PUB-000112,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2014-01-20,,M,Engineering,Dublin,CC-IE-034
HRIS-WKR-000113,WKR-PUB-000113,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2014-10-16,,M,Operations,Dublin,CC-IE-035
HRIS-WKR-000114,WKR-PUB-000114,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2023-07-05,,F,Engineering,Dublin,CC-IE-008
HRIS-WKR-000115,WKR-PUB-000115,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2024-05-01,,F,Technology,Dublin,CC-IE-021
HRIS-WKR-000116,WKR-PUB-000116,IE,LE-IE-SYNTH-001,ACTIVE,CONTRACTOR,PERMANENT,2020-09-02,,F,Finance,Dublin,CC-IE-030
HRIS-WKR-000117,WKR-PUB-000117,IE,LE-IE-SYNTH-001,ACTIVE,CONTRACTOR,PERMANENT,2025-09-18,,F,Technology,Remote-IE,CC-IE-027
HRIS-WKR-000118,WKR-PUB-000118,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2018-12-10,,F,Sales,Dublin,CC-IE-028
HRIS-WKR-000119,WKR-PUB-000119,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2023-04-30,,M,Engineering,Dublin,CC-IE-020
HRIS-WKR-000120,WKR-PUB-000120,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2025-04-04,,F,Finance,Cork,CC-IE-016
HRIS-WKR-000121,WKR-PUB-000121,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2019-07-22,,M,Finance,Dublin,CC-IE-006
HRIS-WKR-000122,WKR-PUB-000122,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2020-05-10,,F,Engineering,Dublin,CC-IE-030
HRIS-WKR-000123,WKR-PUB-000123,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2022-10-23,,M,People,Dublin,CC-IE-004
HRIS-WKR-000124,WKR-PUB-000124,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2017-06-23,,F,People,Dublin,CC-IE-006
HRIS-WKR-000125,WKR-PUB-000125,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2018-05-07,,F,Engineering,Cork,CC-IE-038
HRIS-WKR-000126,WKR-PUB-000126,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2014-05-29,,M,Engineering,Dublin,CC-IE-030
HRIS-WKR-000127,WKR-PUB-000127,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2024-03-18,,F,Technology,Dublin,CC-IE-039
HRIS-WKR-000128,WKR-PUB-000128,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2024-04-04,,M,Operations,Cork,CC-IE-032
HRIS-WKR-000129,WKR-PUB-000129,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2018-06-12,,F,Sales,Dublin,CC-IE-012
HRIS-WKR-000130,WKR-PUB-000130,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2015-10-02,,M,Engineering,Galway,CC-IE-035
HRIS-WKR-000131,WKR-PUB-000131,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2014-12-28,,F,Finance,Dublin,CC-IE-006
HRIS-WKR-000132,WKR-PUB-000132,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2016-04-15,,M,Sales,Galway,CC-IE-004
HRIS-WKR-000133,WKR-PUB-000133,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2018-08-09,,F,Engineering,Dublin,CC-IE-026
HRIS-WKR-000134,WKR-PUB-000134,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2023-05-27,,F,Sales,Galway,CC-IE-004
HRIS-WKR-000135,WKR-PUB-000135,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2018-03-05,,F,Engineering,Dublin,CC-IE-029
HRIS-WKR-000136,WKR-PUB-000136,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2017-06-06,,F,Engineering,Dublin,CC-IE-002
HRIS-WKR-000137,WKR-PUB-000137,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2016-03-08,,F,Engineering,Dublin,CC-IE-040
HRIS-WKR-000138,WKR-PUB-000138,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2017-02-22,,M,People,Dublin,CC-IE-018
HRIS-WKR-000139,WKR-PUB-000139,IE,LE-IE-SYNTH-001,TERMINATED,EMPLOYEE,PERMANENT,2022-06-20,2026-04-15,F,Engineering,Dublin,CC-IE-019
HRIS-WKR-000140,WKR-PUB-000140,IE,LE-IE-SYNTH-001,ACTIVE,CONTRACTOR,PERMANENT,2019-05-03,,M,Engineering,Cork,CC-IE-038
HRIS-WKR-000141,WKR-PUB-000141,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2018-05-26,,M,Engineering,Dublin,CC-IE-036
HRIS-WKR-000142,WKR-PUB-000142,IE,LE-IE-SYNTH-001,ACTIVE,CONTRACTOR,PERMANENT,2024-07-14,,F,Engineering,Dublin,CC-IE-016
HRIS-WKR-000143,WKR-PUB-000143,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2021-11-11,,F,Technology,Remote-IE,CC-IE-012
HRIS-WKR-000144,WKR-PUB-000144,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2021-02-10,,M,Technology,Dublin,CC-IE-030
HRIS-WKR-000145,WKR-PUB-000145,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2020-10-20,,M,Operations,Dublin,CC-IE-029
HRIS-WKR-000146,WKR-PUB-000146,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2019-03-25,,F,Operations,Cork,CC-IE-035
HRIS-WKR-000147,WKR-PUB-000147,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,FIXED_TERM,2016-06-01,,F,Sales,Remote-IE,CC-IE-016
HRIS-WKR-000148,WKR-PUB-000148,IE,LE-IE-SYNTH-001,TERMINATED,EMPLOYEE,PERMANENT,2018-12-14,2026-12-13,F,Engineering,Dublin,CC-IE-031
HRIS-WKR-000149,WKR-PUB-000149,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2024-01-31,,F,Sales,Dublin,CC-IE-024
HRIS-WKR-000150,WKR-PUB-000150,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2017-04-20,,F,Operations,Dublin,CC-IE-003
HRIS-WKR-000151,WKR-PUB-000151,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2016-08-22,,F,Engineering,Dublin,CC-IE-009
HRIS-WKR-000152,WKR-PUB-000152,IE,LE-IE-SYNTH-001,ACTIVE,EMPLOYEE,PERMANENT,2021-09-03,,M,Engineering,Remote-IE,CC-IE-018
