hris_worker_id,payroll_worker_id,legal_entity_id,crosswalk_status,crosswalk_version
HRIS-WKR-000090,PAY-WKR-000085,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000091,PAY-WKR-000086,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000092,PAY-WKR-000087,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000093,PAY-WKR-000088,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000094,PAY-WKR-000089,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000095,PAY-WKR-000090,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000096,PAY-WKR-000091,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000097,PAY-WKR-000092,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000098,PAY-WKR-000093,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000099,PAY-WKR-000094,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000100,PAY-WKR-000095,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000101,PAY-WKR-000096,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000102,PAY-WKR-000097,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000103,PAY-WKR-000098,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000104,PAY-WKR-000099,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000105,PAY-WKR-000100,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000106,PAY-WKR-000101,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000107,PAY-WKR-000102,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000108,PAY-WKR-000103,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000109,PAY-WKR-000104,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000110,PAY-WKR-000105,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000111,PAY-WKR-000106,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000112,PAY-WKR-000107,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000113,PAY-WKR-000108,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000114,PAY-WKR-000109,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000115,PAY-WKR-000110,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000116,PAY-WKR-000111,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000117,PAY-WKR-000112,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000118,PAY-WKR-000113,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000119,,LE-IE-SYNTH-001,MISSING,xwalk_v1.0.0
HRIS-WKR-000120,PAY-WKR-000114,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000121,PAY-WKR-000115,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000122,PAY-WKR-000116,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000123,PAY-WKR-000117,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000124,PAY-WKR-000118,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000125,PAY-WKR-000119,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000126,PAY-WKR-000120,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000127,PAY-WKR-000121,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000128,PAY-WKR-000122,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000129,,LE-IE-SYNTH-001,MISSING,xwalk_v1.0.0
HRIS-WKR-000130,PAY-WKR-000123,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000131,PAY-WKR-000124,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000132,PAY-WKR-000125,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000133,PAY-WKR-000126,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000134,PAY-WKR-000127,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000135,PAY-WKR-000128,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000136,PAY-WKR-000129,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000137,PAY-WKR-000130,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000138,PAY-WKR-000131,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000139,PAY-WKR-000132,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000140,PAY-WKR-000133,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000141,PAY-WKR-000134,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000142,PAY-WKR-000135,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000143,PAY-WKR-000136,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000144,PAY-WKR-000137,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000145,PAY-WKR-000138,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000146,PAY-WKR-000139,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000147,PAY-WKR-000140,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000148,PAY-WKR-000141,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000149,PAY-WKR-000142,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000150,PAY-WKR-000143,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000151,PAY-WKR-000144,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000152,PAY-WKR-000145,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000153,PAY-WKR-000146,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000154,PAY-WKR-000147,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000155,PAY-WKR-000148,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000156,PAY-WKR-000149,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000157,PAY-WKR-000150,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000158,PAY-WKR-000151,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000159,PAY-WKR-000152,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000160,PAY-WKR-000153,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000161,PAY-WKR-000154,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000162,PAY-WKR-000155,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000163,PAY-WKR-000156,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000164,PAY-WKR-000157,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000165,PAY-WKR-000158,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000166,PAY-WKR-000159,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000167,PAY-WKR-000160,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000168,PAY-WKR-000161,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000169,PAY-WKR-000162,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000170,PAY-WKR-000163,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000171,PAY-WKR-000164,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000172,PAY-WKR-000165,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000173,PAY-WKR-000166,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000174,PAY-WKR-000167,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000175,PAY-WKR-000168,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000176,PAY-WKR-000169,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000177,PAY-WKR-000170,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000178,PAY-WKR-000171,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000179,PAY-WKR-000172,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000180,PAY-WKR-000173,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000181,PAY-WKR-000174,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000182,PAY-WKR-000175,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000183,PAY-WKR-000176,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000184,PAY-WKR-000177,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000185,PAY-WKR-000178,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000186,PAY-WKR-000179,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000187,PAY-WKR-000180,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000188,PAY-WKR-000181,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000189,PAY-WKR-000182,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000190,PAY-WKR-000183,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000191,PAY-WKR-000184,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000192,PAY-WKR-000185,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000193,PAY-WKR-000186,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000194,PAY-WKR-000187,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000195,PAY-WKR-000188,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000196,PAY-WKR-000189,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000197,PAY-WKR-000190,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000198,PAY-WKR-000191,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000199,PAY-WKR-000192,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000200,PAY-WKR-000193,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000201,PAY-WKR-000194,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000202,PAY-WKR-000195,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000203,PAY-WKR-000196,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000204,PAY-WKR-000197,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000205,PAY-WKR-000198,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000206,PAY-WKR-000199,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000207,PAY-WKR-000200,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000208,PAY-WKR-000201,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000209,PAY-WKR-000202,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000210,PAY-WKR-000203,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000211,PAY-WKR-000204,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000212,PAY-WKR-000205,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000213,PAY-WKR-000206,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000214,PAY-WKR-000207,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000215,PAY-WKR-000208,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000216,PAY-WKR-000209,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000217,PAY-WKR-000210,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000218,PAY-WKR-000211,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000219,PAY-WKR-000212,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000220,PAY-WKR-000213,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000221,PAY-WKR-000214,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000222,PAY-WKR-000215,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000223,PAY-WKR-000216,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000224,PAY-WKR-000217,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000225,PAY-WKR-000218,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000226,PAY-WKR-000219,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000227,PAY-WKR-000220,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000228,PAY-WKR-000221,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000229,PAY-WKR-000222,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000230,PAY-WKR-000223,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000231,PAY-WKR-000224,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000232,PAY-WKR-000225,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000233,PAY-WKR-000226,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000234,PAY-WKR-000227,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000235,PAY-WKR-000228,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000236,PAY-WKR-000229,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000237,PAY-WKR-000230,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000238,PAY-WKR-000231,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000239,PAY-WKR-000232,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000240,PAY-WKR-000233,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000241,PAY-WKR-000234,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000242,PAY-WKR-000235,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000243,PAY-WKR-000236,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000244,,LE-IE-SYNTH-001,MISSING,xwalk_v1.0.0
HRIS-WKR-000245,PAY-WKR-000237,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000246,PAY-WKR-000238,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000247,PAY-WKR-000239,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000248,PAY-WKR-000240,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
HRIS-WKR-000249,PAY-WKR-000241,LE-IE-SYNTH-001,ACTIVE,xwalk_v1.0.0
