payroll_line_id,payroll_run_id,payroll_worker_id,earning_code,earning_description,amount,currency_code,component_family_candidate,off_cycle_flag,retro_flag
LINE-000000046,RUN-IE-2026-02-REG-001,PAY-WKR-000028,BASE,Base salary,3539.03,EUR,BASE,N,N
LINE-000000047,RUN-IE-2026-02-REG-001,PAY-WKR-000029,BASE,Base salary,2743.03,EUR,BASE,N,N
LINE-000000048,RUN-IE-2026-02-REG-001,PAY-WKR-000030,BASE,Base salary,7173.01,EUR,BASE,N,N
LINE-000000049,RUN-IE-2026-02-REG-001,PAY-WKR-000031,BASE,Base salary,13695.45,EUR,BASE,N,N
LINE-000000050,RUN-IE-2026-02-REG-001,PAY-WKR-000032,SUSPECT_BASE,Suspected misclassified base-like code,626.08,EUR,BASE,N,N
LINE-000000051,RUN-IE-2026-02-REG-001,PAY-WKR-000032,BASE,Base salary,6568.04,EUR,BASE,N,N
LINE-000000052,RUN-IE-2026-02-REG-001,PAY-WKR-000033,BASE,Base salary,5677.06,EUR,BASE,N,N
LINE-000000053,RUN-IE-2026-02-REG-001,PAY-WKR-000033,BONUS,Bonus payment,1421.9,EUR,VARIABLE,N,N
LINE-000000054,RUN-IE-2026-02-REG-001,PAY-WKR-000034,BASE,Base salary,8001.58,EUR,BASE,N,N
LINE-000000055,RUN-IE-2026-02-REG-001,PAY-WKR-000034,BONUS,Bonus payment,802.67,EUR,VARIABLE,N,N
LINE-000000056,RUN-IE-2026-02-REG-001,PAY-WKR-000035,BASE,Base salary,10975.43,EUR,BASE,N,N
LINE-000000057,RUN-IE-2026-02-REG-001,PAY-WKR-DUP-000001,BASE,Base salary,12697.55,EUR,BASE,N,N
LINE-000000058,RUN-IE-2026-02-REG-001,PAY-WKR-000036,BASE,Base salary,10292.88,EUR,BASE,N,N
LINE-000000059,RUN-IE-2026-02-REG-001,PAY-WKR-000036,BONUS,Bonus payment,2763.31,EUR,VARIABLE,N,N
LINE-000000060,RUN-IE-2026-02-REG-001,PAY-WKR-000037,BASE,Base salary,3276.19,EUR,BASE,N,N
LINE-000000061,RUN-IE-2026-02-REG-001,PAY-WKR-000038,BASE,Base salary,6443.36,EUR,BASE,N,N
LINE-000000062,RUN-IE-2026-02-REG-001,PAY-WKR-000038,OFFCYCLE_ADJ,Off-cycle adjustment (excluded),-20.33,EUR,EXCLUDED,Y,N
LINE-000000063,RUN-IE-2026-02-REG-001,PAY-WKR-000039,BASE,Base salary,7134.91,EUR,BASE,N,N
LINE-000000064,RUN-IE-2026-02-REG-001,PAY-WKR-000040,BASE,Base salary,8430.84,EUR,BASE,N,N
LINE-000000065,RUN-IE-2026-02-REG-001,PAY-WKR-000041,BASE,Base salary,4033.96,EUR,BASE,N,N
LINE-000000066,RUN-IE-2026-02-REG-001,PAY-WKR-000041,BONUS,Bonus payment,453.72,EUR,VARIABLE,N,N
LINE-000000067,RUN-IE-2026-02-REG-001,PAY-WKR-000042,BASE,Base salary,4678.49,EUR,BASE,N,N
LINE-000000068,RUN-IE-2026-02-REG-001,PAY-WKR-000043,BASE,Base salary,4951.35,EUR,BASE,N,N
LINE-000000069,RUN-IE-2026-02-REG-001,PAY-WKR-000043,BONUS,Bonus payment,318.3,EUR,VARIABLE,N,N
LINE-000000070,RUN-IE-2026-02-REG-001,PAY-WKR-000043,ALLOW_TRAVEL,Travel allowance (excluded),51.51,EUR,ALLOWANCE,N,N
LINE-000000071,RUN-IE-2026-02-REG-001,PAY-WKR-000044,BASE,Base salary,7455.69,EUR,BASE,N,N
LINE-000000072,RUN-IE-2026-02-REG-001,PAY-WKR-000045,BASE,Base salary,10510.01,EUR,BASE,N,N
LINE-000000073,RUN-IE-2026-02-REG-001,PAY-WKR-000046,BASE,Base salary,15460.22,EUR,BASE,N,N
LINE-000000074,RUN-IE-2026-02-REG-001,PAY-WKR-000047,SUSPECT_BASE,Suspected misclassified base-like code,853.47,EUR,BASE,N,N
LINE-000000075,RUN-IE-2026-02-REG-001,PAY-WKR-000047,BASE,Base salary,3095.86,EUR,BASE,N,N
LINE-000000076,RUN-IE-2026-02-REG-001,PAY-WKR-000048,BASE,Base salary,2404.55,EUR,BASE,N,N
LINE-000000077,RUN-IE-2026-02-REG-001,PAY-WKR-000049,BASE,Base salary,6956.2,EUR,BASE,N,N
LINE-000000078,RUN-IE-2026-02-REG-001,PAY-WKR-000050,BASE,Base salary,10043.12,EUR,BASE,N,N
LINE-000000079,RUN-IE-2026-02-REG-001,PAY-WKR-000051,BASE,Base salary,5145.46,EUR,BASE,N,N
LINE-000000080,RUN-IE-2026-02-REG-001,PAY-WKR-000052,BASE,Base salary,12015.45,EUR,BASE,N,N
LINE-000000081,RUN-IE-2026-02-REG-001,PAY-WKR-000053,BASE,Base salary,4146.38,EUR,BASE,N,N
LINE-000000082,RUN-IE-2026-02-REG-001,PAY-WKR-000054,BASE,Base salary,6865.66,EUR,BASE,N,N
LINE-000000083,RUN-IE-2026-02-REG-001,PAY-WKR-000055,BASE,Base salary,11903.59,EUR,BASE,N,N
LINE-000000084,RUN-IE-2026-02-REG-001,PAY-WKR-000056,BASE,Base salary,3945.73,EUR,BASE,N,N
LINE-000000085,RUN-IE-2026-02-REG-001,PAY-WKR-000057,BASE,Base salary,11865.02,EUR,BASE,N,N
LINE-000000086,RUN-IE-2026-02-REG-001,PAY-WKR-000057,ALLOW_TRAVEL,Travel allowance (excluded),111.53,EUR,ALLOWANCE,N,N
LINE-000000087,RUN-IE-2026-02-REG-001,PAY-WKR-000058,BASE,Base salary,3130.74,EUR,BASE,N,N
LINE-000000088,RUN-IE-2026-02-REG-001,PAY-WKR-000058,ALLOW_TRAVEL,Travel allowance (excluded),140.27,EUR,ALLOWANCE,N,N
LINE-000000089,RUN-IE-2026-02-REG-001,PAY-WKR-000059,BASE,Base salary,8061.81,EUR,BASE,N,N
LINE-000000090,RUN-IE-2026-02-REG-001,PAY-WKR-000059,BONUS,Bonus payment,970.99,EUR,VARIABLE,N,N
LINE-000000091,RUN-IE-2026-02-REG-001,PAY-WKR-000060,BASE,Base salary,4574.41,EUR,BASE,N,N
LINE-000000092,RUN-IE-2026-02-REG-001,PAY-WKR-000061,BASE,Base salary,13111.84,EUR,BASE,N,N
LINE-000000093,RUN-IE-2026-02-REG-001,PAY-WKR-000062,BASE,Base salary,8477.05,EUR,BASE,N,N
LINE-000000094,RUN-IE-2026-02-REG-001,PAY-WKR-000062,BONUS,Bonus payment,481.85,EUR,VARIABLE,N,N
LINE-000000095,RUN-IE-2026-02-REG-001,PAY-WKR-000063,BASE,Base salary,3223.28,EUR,BASE,N,N
LINE-000000096,RUN-IE-2026-02-REG-001,PAY-WKR-000063,OFFCYCLE_ADJ,Off-cycle adjustment (excluded),116.75,EUR,EXCLUDED,Y,N
LINE-000000097,RUN-IE-2026-02-REG-001,PAY-WKR-000064,BASE,Base salary,3248.15,EUR,BASE,N,N
LINE-000000098,RUN-IE-2026-02-REG-001,PAY-WKR-000064,ALLOW_TRAVEL,Travel allowance (excluded),59.9,EUR,ALLOWANCE,N,N
LINE-000000099,RUN-IE-2026-02-REG-001,PAY-WKR-000065,BASE,Base salary,8531.5,EUR,BASE,N,N
LINE-000000100,RUN-IE-2026-02-REG-001,PAY-WKR-000066,BASE,Base salary,14011.97,EUR,BASE,N,N
LINE-000000101,RUN-IE-2026-02-REG-001,PAY-WKR-000066,RETRO_ADJ,Retro adjustment (excluded),-255.79,EUR,EXCLUDED,N,Y
LINE-000000102,RUN-IE-2026-02-REG-001,PAY-WKR-000067,BASE,Base salary,4276.14,EUR,BASE,N,N
LINE-000000103,RUN-IE-2026-02-REG-001,PAY-WKR-000068,BASE,Base salary,3585.67,EUR,BASE,N,N
LINE-000000104,RUN-IE-2026-02-REG-001,PAY-WKR-000069,BASE,Base salary,3705.42,EUR,BASE,N,N
LINE-000000105,RUN-IE-2026-02-REG-001,PAY-WKR-000070,BASE,Base salary,12558.49,EUR,BASE,N,N
LINE-000000106,RUN-IE-2026-02-REG-001,PAY-WKR-000071,BASE,Base salary,8129.49,EUR,BASE,N,N
LINE-000000107,RUN-IE-2026-02-REG-001,PAY-WKR-000072,BASE,Base salary,15321.01,EUR,BASE,N,N
LINE-000000108,RUN-IE-2026-02-REG-001,PAY-WKR-000073,BASE,Base salary,3193.8,EUR,BASE,N,N
LINE-000000109,RUN-IE-2026-02-REG-001,PAY-WKR-000074,SUSPECT_BASE,Suspected misclassified base-like code,1147.81,EUR,BASE,N,N
LINE-000000110,RUN-IE-2026-02-REG-001,PAY-WKR-000074,BASE,Base salary,2488.63,EUR,BASE,N,N
LINE-000000111,RUN-IE-2026-02-REG-001,PAY-WKR-000075,BASE,Base salary,8036.58,EUR,BASE,N,N
LINE-000000112,RUN-IE-2026-02-REG-001,PAY-WKR-000076,BASE,Base salary,8033.05,EUR,BASE,N,N
LINE-000000113,RUN-IE-2026-02-REG-001,PAY-WKR-000077,BASE,Base salary,1554.05,EUR,BASE,N,N
LINE-000000114,RUN-IE-2026-02-REG-001,PAY-WKR-000077,ALLOW_TRAVEL,Travel allowance (excluded),99.98,EUR,ALLOWANCE,N,N
LINE-000000115,RUN-IE-2026-02-REG-001,PAY-WKR-000078,BASE,Base salary,4034.29,EUR,BASE,N,N
LINE-000000116,RUN-IE-2026-02-REG-001,PAY-WKR-000078,BONUS,Bonus payment,540.03,EUR,VARIABLE,N,N
LINE-000000117,RUN-IE-2026-02-REG-001,PAY-WKR-000078,OFFCYCLE_ADJ,Off-cycle adjustment (excluded),185.07,EUR,EXCLUDED,Y,N
LINE-000000118,RUN-IE-2026-02-REG-001,PAY-WKR-000079,BASE,Base salary,7697.17,EUR,BASE,N,N
LINE-000000119,RUN-IE-2026-02-REG-001,PAY-WKR-000079,ALLOW_TRAVEL,Travel allowance (excluded),149.96,EUR,ALLOWANCE,N,N
LINE-000000120,RUN-IE-2026-02-REG-001,PAY-WKR-000080,BASE,Base salary,4857.31,EUR,BASE,N,N
LINE-000000121,RUN-IE-2026-02-REG-001,PAY-WKR-000081,BASE,Base salary,6315.08,EUR,BASE,N,N
LINE-000000122,RUN-IE-2026-02-REG-001,PAY-WKR-000082,BASE,Base salary,5192.64,EUR,BASE,N,N
LINE-000000123,RUN-IE-2026-02-REG-001,PAY-WKR-000083,BASE,Base salary,7116.49,EUR,BASE,N,N
LINE-000000124,RUN-IE-2026-02-REG-001,PAY-WKR-000083,BONUS,Bonus payment,871.26,EUR,VARIABLE,N,N
LINE-000000125,RUN-IE-2026-02-REG-001,PAY-WKR-000084,BASE,Base salary,2521.68,EUR,BASE,N,N
LINE-000000126,RUN-IE-2026-02-REG-001,PAY-WKR-000085,BASE,Base salary,3592.49,EUR,BASE,N,N
LINE-000000127,RUN-IE-2026-02-REG-001,PAY-WKR-000085,BONUS,Bonus payment,468.65,EUR,VARIABLE,N,N
LINE-000000128,RUN-IE-2026-02-REG-001,PAY-WKR-000086,BASE,Base salary,12187.99,EUR,BASE,N,N
LINE-000000129,RUN-IE-2026-02-REG-001,PAY-WKR-000086,RETRO_ADJ,Retro adjustment (excluded),260.08,EUR,EXCLUDED,N,Y
LINE-000000130,RUN-IE-2026-02-REG-001,PAY-WKR-000087,BASE,Base salary,2614.26,EUR,BASE,N,N
LINE-000000131,RUN-IE-2026-02-REG-001,PAY-WKR-000088,BASE,Base salary,2598.33,EUR,BASE,N,N
LINE-000000132,RUN-IE-2026-02-REG-001,PAY-WKR-000088,BONUS,Bonus payment,125.1,EUR,VARIABLE,N,N
LINE-000000133,RUN-IE-2026-02-REG-001,PAY-WKR-000089,BASE,Base salary,6966.05,EUR,BASE,N,N
LINE-000000134,RUN-IE-2026-02-REG-001,PAY-WKR-000090,BASE,Base salary,14134.64,EUR,BASE,N,N
LINE-000000135,RUN-IE-2026-02-REG-001,PAY-WKR-000091,BASE,Base salary,4156.17,EUR,BASE,N,N
LINE-000000136,RUN-IE-2026-02-REG-001,PAY-WKR-000092,BASE,Base salary,5257.09,EUR,BASE,N,N
LINE-000000137,RUN-IE-2026-02-REG-001,PAY-WKR-000093,BASE,Base salary,10494.06,EUR,BASE,N,N
LINE-000000138,RUN-IE-2026-02-REG-001,PAY-WKR-000094,BASE,Base salary,2804.84,EUR,BASE,N,N
LINE-000000139,RUN-IE-2026-02-REG-001,PAY-WKR-000095,BASE,Base salary,8883.24,EUR,BASE,N,N
LINE-000000140,RUN-IE-2026-02-REG-001,PAY-WKR-000096,BASE,Base salary,3469.72,EUR,BASE,N,N
LINE-000000141,RUN-IE-2026-02-REG-001,PAY-WKR-000097,BASE,Base salary,8583.1,EUR,BASE,N,N
LINE-000000142,RUN-IE-2026-02-REG-001,PAY-WKR-000097,BONUS,Bonus payment,3280.5,EUR,VARIABLE,N,N
LINE-000000143,RUN-IE-2026-02-REG-001,PAY-WKR-000097,RETRO_ADJ,Retro adjustment (excluded),-103.88,EUR,EXCLUDED,N,Y
LINE-000000144,RUN-IE-2026-02-REG-001,PAY-WKR-000098,BASE,Base salary,6018.67,EUR,BASE,N,N
LINE-000000145,RUN-IE-2026-02-REG-001,PAY-WKR-000098,ALLOW_TRAVEL,Travel allowance (excluded),59.98,EUR,ALLOWANCE,N,N
LINE-000000146,RUN-IE-2026-02-REG-001,PAY-WKR-000098,OFFCYCLE_ADJ,Off-cycle adjustment (excluded),-0.31,EUR,EXCLUDED,Y,N
LINE-000000147,RUN-IE-2026-02-REG-001,PAY-WKR-000099,BASE,Base salary,4991.23,EUR,BASE,N,N
LINE-000000148,RUN-IE-2026-02-REG-001,PAY-WKR-000099,BONUS,Bonus payment,826.6,EUR,VARIABLE,N,N
LINE-000000149,RUN-IE-2026-02-REG-001,PAY-WKR-000100,BASE,Base salary,5397.85,EUR,BASE,N,N
LINE-000000150,RUN-IE-2026-02-REG-001,PAY-WKR-000100,BONUS,Bonus payment,853.8,EUR,VARIABLE,N,N
LINE-000000151,RUN-IE-2026-02-REG-001,PAY-WKR-000101,BASE,Base salary,1653.26,EUR,BASE,N,N
LINE-000000152,RUN-IE-2026-02-REG-001,PAY-WKR-000102,BASE,Base salary,1922.19,EUR,BASE,N,N
LINE-000000153,RUN-IE-2026-02-REG-001,PAY-WKR-000103,BASE,Base salary,7864.55,EUR,BASE,N,N
LINE-000000154,RUN-IE-2026-02-REG-001,PAY-WKR-000104,BASE,Base salary,5091.44,EUR,BASE,N,N
LINE-000000155,RUN-IE-2026-02-REG-001,PAY-WKR-000104,BONUS,Bonus payment,1280.13,EUR,VARIABLE,N,N
LINE-000000156,RUN-IE-2026-02-REG-001,PAY-WKR-000105,BASE,Base salary,3317.96,EUR,BASE,N,N
LINE-000000157,RUN-IE-2026-02-REG-001,PAY-WKR-000106,BASE,Base salary,8695.24,EUR,BASE,N,N
LINE-000000158,RUN-IE-2026-02-REG-001,PAY-WKR-000107,UNMAPPED_X,Intentionally unmapped code (blocker),215.93,EUR,UNKNOWN,N,N
LINE-000000159,RUN-IE-2026-02-REG-001,PAY-WKR-000107,BASE,Base salary,7815.97,EUR,BASE,N,N
LINE-000000160,RUN-IE-2026-02-REG-001,PAY-WKR-000108,BASE,Base salary,4638.97,EUR,BASE,N,N
LINE-000000161,RUN-IE-2026-02-REG-001,PAY-WKR-000109,BASE,Base salary,11661.64,EUR,BASE,N,N
LINE-000000162,RUN-IE-2026-02-REG-001,PAY-WKR-000109,BONUS,Bonus payment,2997.67,EUR,VARIABLE,N,N
LINE-000000163,RUN-IE-2026-02-REG-001,PAY-WKR-000110,BASE,Base salary,5643.99,EUR,BASE,N,N
LINE-000000164,RUN-IE-2026-02-REG-001,PAY-WKR-000110,ALLOW_TRAVEL,Travel allowance (excluded),89.71,EUR,ALLOWANCE,N,N
LINE-000000165,RUN-IE-2026-02-REG-001,PAY-WKR-000111,BASE,Base salary,6070.29,EUR,BASE,N,N
LINE-000000166,RUN-IE-2026-02-REG-001,PAY-WKR-000112,BASE,Base salary,1752.98,EUR,BASE,N,N
LINE-000000167,RUN-IE-2026-02-REG-001,PAY-WKR-000113,BASE,Base salary,4769.84,EUR,BASE,N,N
LINE-000000168,RUN-IE-2026-02-REG-001,PAY-WKR-000114,BASE,Base salary,5506.52,EUR,BASE,N,N
LINE-000000169,RUN-IE-2026-02-REG-001,PAY-WKR-000114,ALLOW_TRAVEL,Travel allowance (excluded),114.04,EUR,ALLOWANCE,N,N
LINE-000000170,RUN-IE-2026-02-REG-001,PAY-WKR-000115,BASE,Base salary,4596.0,EUR,BASE,N,N
LINE-000000171,RUN-IE-2026-02-REG-001,PAY-WKR-000115,BONUS,Bonus payment,1116.07,EUR,VARIABLE,N,N
LINE-000000172,RUN-IE-2026-02-REG-001,PAY-WKR-000116,BASE,Base salary,3055.22,EUR,BASE,N,N
LINE-000000173,RUN-IE-2026-02-REG-001,PAY-WKR-000117,BASE,Base salary,6136.6,EUR,BASE,N,N
LINE-000000174,RUN-IE-2026-02-REG-001,PAY-WKR-000117,OFFCYCLE_ADJ,Off-cycle adjustment (excluded),-147.49,EUR,EXCLUDED,Y,N
LINE-000000175,RUN-IE-2026-02-REG-001,PAY-WKR-000118,BASE,Base salary,13532.42,EUR,BASE,N,N
LINE-000000176,RUN-IE-2026-02-REG-001,PAY-WKR-000119,BASE,Base salary,9328.08,EUR,BASE,N,N
LINE-000000177,RUN-IE-2026-02-REG-001,PAY-WKR-000119,RETRO_ADJ,Retro adjustment (excluded),-58.98,EUR,EXCLUDED,N,Y
LINE-000000178,RUN-IE-2026-02-REG-001,PAY-WKR-000120,BASE,Base salary,8008.81,EUR,BASE,N,N
LINE-000000179,RUN-IE-2026-02-REG-001,PAY-WKR-000120,BONUS,Bonus payment,2766.99,EUR,VARIABLE,N,N
LINE-000000180,RUN-IE-2026-02-REG-001,PAY-WKR-000121,UNMAPPED_X,Intentionally unmapped code (blocker),114.64,EUR,UNKNOWN,N,N
LINE-000000181,RUN-IE-2026-02-REG-001,PAY-WKR-000121,BASE,Base salary,1218.92,EUR,BASE,N,N
LINE-000000182,RUN-IE-2026-02-REG-001,PAY-WKR-000121,RETRO_ADJ,Retro adjustment (excluded),-367.03,EUR,EXCLUDED,N,Y
LINE-000000183,RUN-IE-2026-02-REG-001,PAY-WKR-000122,BASE,Base salary,10933.59,EUR,BASE,N,N
LINE-000000184,RUN-IE-2026-02-REG-001,PAY-WKR-000122,BONUS,Bonus payment,2811.64,EUR,VARIABLE,N,N
LINE-000000185,RUN-IE-2026-02-REG-001,PAY-WKR-000123,BASE,Base salary,3172.33,EUR,BASE,N,N
LINE-000000186,RUN-IE-2026-02-REG-001,PAY-WKR-000124,BASE,Base salary,7295.59,EUR,BASE,N,N
LINE-000000187,RUN-IE-2026-02-REG-001,PAY-WKR-000125,BASE,Base salary,2714.76,EUR,BASE,N,N
LINE-000000188,RUN-IE-2026-02-REG-001,PAY-WKR-000125,BONUS,Bonus payment,469.89,EUR,VARIABLE,N,N
LINE-000000189,RUN-IE-2026-02-REG-001,PAY-WKR-000126,BASE,Base salary,5092.07,EUR,BASE,N,N
LINE-000000190,RUN-IE-2026-02-REG-001,PAY-WKR-000127,SUSPECT_BASE,Suspected misclassified base-like code,1060.16,EUR,BASE,N,N
LINE-000000191,RUN-IE-2026-02-REG-001,PAY-WKR-000127,BASE,Base salary,3291.32,EUR,BASE,N,N
LINE-000000192,RUN-IE-2026-02-REG-001,PAY-WKR-000128,BASE,Base salary,9503.86,EUR,BASE,N,N
LINE-000000193,RUN-IE-2026-02-REG-001,PAY-WKR-000129,BASE,Base salary,2410.32,EUR,BASE,N,N
LINE-000000194,RUN-IE-2026-02-REG-001,PAY-WKR-000130,BASE,Base salary,5749.67,EUR,BASE,N,N
LINE-000000195,RUN-IE-2026-02-REG-001,PAY-WKR-000131,BASE,Base salary,4766.58,EUR,BASE,N,N
LINE-000000196,RUN-IE-2026-02-REG-001,PAY-WKR-000131,BONUS,Bonus payment,1011.35,EUR,VARIABLE,N,N
LINE-000000197,RUN-IE-2026-02-REG-001,PAY-WKR-000132,BASE,Base salary,2682.47,EUR,BASE,N,N
LINE-000000198,RUN-IE-2026-02-REG-001,PAY-WKR-000133,BASE,Base salary,6263.35,EUR,BASE,N,N
LINE-000000199,RUN-IE-2026-02-REG-001,PAY-WKR-000133,BONUS,Bonus payment,1795.97,EUR,VARIABLE,N,N
LINE-000000200,RUN-IE-2026-02-REG-001,PAY-WKR-000133,ALLOW_TRAVEL,Travel allowance (excluded),124.64,EUR,ALLOWANCE,N,N
LINE-000000201,RUN-IE-2026-02-REG-001,PAY-WKR-000134,BASE,Base salary,15694.4,EUR,BASE,N,N
LINE-000000202,RUN-IE-2026-02-REG-001,PAY-WKR-000134,RETRO_ADJ,Retro adjustment (excluded),597.43,EUR,EXCLUDED,N,Y
LINE-000000203,RUN-IE-2026-02-REG-001,PAY-WKR-000135,BASE,Base salary,4126.56,EUR,BASE,N,N
LINE-000000204,RUN-IE-2026-02-REG-001,PAY-WKR-000135,BONUS,Bonus payment,233.48,EUR,VARIABLE,N,N
LINE-000000205,RUN-IE-2026-02-REG-001,PAY-WKR-000136,BASE,Base salary,7017.24,EUR,BASE,N,N
LINE-000000206,RUN-IE-2026-02-REG-001,PAY-WKR-000137,BASE,Base salary,3047.65,EUR,BASE,N,N
LINE-000000207,RUN-IE-2026-02-REG-001,PAY-WKR-000138,BASE,Base salary,3038.89,EUR,BASE,N,N
LINE-000000208,RUN-IE-2026-02-REG-001,PAY-WKR-000138,BONUS,Bonus payment,459.47,EUR,VARIABLE,N,N
